Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,Lch5
2026-02-22T23:58:09.921,SILGO,73.78,3.63,,70.89,93.07,85.0,307.42,34.16,72.98,consumer discretionary,diamond cutting / jewellery,18.99,5.82,0.39,0.52,0.23,0.38,9.29,75.01,15.65,-5.11,5.02,10.78,10.95,2026-02-22,-15.35
2026-02-22T23:58:09.921,CRAFTSMAN,8038.0,0.38,,7509.01,8728.99,8167.0,43.38,51.92,63.75,auto,auto ancillaries,18.38,4.01,0.07,0.4,0.04,0.36,3.95,7810.5,8.12,-3.66,3.54,4.76,7.26,2026-02-22,-5.74
2026-02-22T23:58:09.921,VEDL,682.45,1.12,,681.55,720.75,709.0,11.67,18.8,59.11,metals & mining,mining / minerals / metals,29.39,1.17,0.47,0.57,0.46,0.55,1.69,689.5,2.88,-2.48,4.13,4.51,12.89,2026-02-22,-5.83
2026-02-22T23:58:09.921,FEDERALBNK,292.6,0.93,,288.09,292.91,293.5,16.44,17.55,64.01,bank,banks - private sector,36.23,-2.93,0.36,0.36,0.32,0.33,3.88,279.65,0.84,-2.74,2.75,3.88,9.54,2026-02-22,-2.72
2026-02-22T23:58:09.921,DABUR,509.7,0.57,,499.74,544.96,525.3,40.32,48.92,60.91,fmcg,personal care - indian,13.56,3.45,-0.04,0.04,-0.06,0.04,1.03,517.0,4.52,-1.73,2.12,2.92,4.16,2026-02-22,-4.27
2026-02-21T23:33:04.327,SILGO,73.78,3.63,,70.89,93.07,85.0,307.42,34.16,72.98,consumer discretionary,diamond cutting / jewellery,18.99,5.82,0.39,0.52,0.23,0.38,9.29,75.01,15.65,-5.11,5.02,10.78,10.95,2026-02-21,-15.35
2026-02-21T23:33:04.327,CRAFTSMAN,8038.0,0.38,,7509.01,8728.99,8167.0,43.38,51.92,63.75,auto,auto ancillaries,18.38,4.01,0.07,0.4,0.04,0.36,3.95,7810.5,8.12,-3.66,3.54,4.76,7.26,2026-02-21,-5.74
2026-02-21T23:33:04.327,VEDL,682.45,1.12,,681.55,720.75,709.0,11.67,18.8,59.11,metals & mining,mining / minerals / metals,29.39,1.17,0.47,0.57,0.46,0.55,1.69,689.5,2.88,-2.48,4.13,4.51,12.89,2026-02-21,-5.83
2026-02-21T23:33:04.327,FEDERALBNK,292.6,0.93,,288.09,292.91,293.5,16.44,17.55,64.01,bank,banks - private sector,36.23,-2.93,0.36,0.36,0.32,0.33,3.88,279.65,0.84,-2.74,2.75,3.88,9.54,2026-02-21,-2.72
2026-02-21T23:33:04.327,DABUR,509.7,0.57,,499.74,544.96,525.3,40.32,48.92,60.91,fmcg,personal care - indian,13.56,3.45,-0.04,0.04,-0.06,0.04,1.03,517.0,4.52,-1.73,2.12,2.92,4.16,2026-02-21,-4.27
